dataset,method,category,scope,seed,n_decisions,fee,annualization_factor,protocol_id,split_protocol_id,accounting_protocol_id,APV,GARR,ARR,AVol,ASR,MDD,Calmar,Turnover
DJIA30_2026,Proposed Fixed-5 + Reliability-policy,M2 control,common fixed five-day,5,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.63680104956525,0.2818993608657574,0.2662009954397827,0.18621648172528377,1.4295243523744383,0.2027419030651133,1.390434619602153,20.743589135959244
DJIA30_2026,Proposed Fixed-5 + Reliability-policy,M2 control,common fixed five-day,6,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.7436788728727017,0.32342434299010914,0.2953228373545033,0.16982441031959666,1.7389893290294849,0.17707442812846075,1.8264881406561828,18.663217995761435
DJIA30_2026,Proposed Fixed-5 + Reliability-policy,M2 control,common fixed five-day,7,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.7158891234820155,0.31275163413590423,0.28732529315294586,0.17090807939784564,1.6811685800066847,0.17389749557725365,1.7984826814079382,17.993505230169337
DJIA30_2026,Proposed Fixed-5 + Reliability-policy,M2 control,common fixed five-day,8,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.5658099321903527,0.25356967597494506,0.24006300459602828,0.16546473927061112,1.4508408598366969,0.1797081585214927,1.4110081482172592,21.663578436167754
DJIA30_2026,Proposed Fixed-5 + Reliability-policy,M2 control,common fixed five-day,9,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.541313434858591,0.24364676879866898,0.23180873202346144,0.1632801908017755,1.4196990515823231,0.19013945792424325,1.281410873148405,29.336604985521475
DJIA30_2026,Proposed Fixed-5 + Reliability-policy,M2 control,common fixed five-day,10,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.5339162179283088,0.24063499179162728,0.23057997223896712,0.17055791781694893,1.3519159660851205,0.18402313108814383,1.307634482517132,21.893870782608616
DJIA30_2026,Standard + Equal-policy,M3 training control,common fixed five-day,1,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.3398826497358416,0.1588884880486625,0.16276010771998237,0.17290224412373326,0.9413417885051109,0.17040395070533265,0.9324225605744141,50.436271082055214
DJIA30_2026,Standard + Equal-policy,M3 training control,common fixed five-day,2,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.5631747699195149,0.2525059525822846,0.2490796579302299,0.21809971765948757,1.142044843538543,0.23910512838251063,1.0560457414294178,18.496549417220415
DJIA30_2026,Standard + Equal-policy,M3 training control,common fixed five-day,3,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.5981671559744042,0.2665594786133818,0.24947035365572529,0.1589931349405715,1.5690636815795374,0.12646518912467564,2.107769580375152,30.786234834369154
DJIA30_2026,Standard + Equal-policy,M3 training control,common fixed five-day,4,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.1192628161596012,0.058429086953476705,0.07573989555904323,0.19458045267368348,0.38924719579135225,0.21684763549049402,0.2694476553609369,46.37569528995377
DJIA30_2026,Standard + Equal-policy,M3 training control,common fixed five-day,5,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.6232711484368043,0.2765478518411606,0.26669913989307525,0.20959889591156383,1.272426263187969,0.2562530640873394,1.0791982247162675,41.78775832049451
DJIA30_2026,Standard + Equal-policy,M3 training control,common fixed five-day,6,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.0295088637744976,0.4286473502137602,0.3887370959590776,0.2489386004773106,1.5615782173343942,0.27662957156482626,1.5495355315377395,36.658217158536154
DJIA30_2026,Standard + Equal-policy,M3 training control,common fixed five-day,7,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.1924163005075603,0.0927471028861162,0.09874633094151054,0.141625133460297,0.6972373372498388,0.12562006602958076,0.7383143936915008,33.043423356463954
DJIA30_2026,Standard + Equal-policy,M3 training control,common fixed five-day,8,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.422717775120619,0.19446066857693256,0.19203005443371912,0.16642917899628074,1.1538244410735843,0.17251651817323266,1.1272002857237395,21.177581523111296
DJIA30_2026,Standard + Equal-policy,M3 training control,common fixed five-day,9,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.4741296172030711,0.2160235300131419,0.20662223451596412,0.145626524740582,1.4188502739046986,0.16648940980271054,1.297521147255727,45.7455944897686
DJIA30_2026,Standard + Equal-policy,M3 training control,common fixed five-day,10,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.3671142360906599,0.17070001007652635,0.1788672409273159,0.20595885024898963,0.868461057687388,0.25374729534945306,0.6727165696148346,38.818611565682545
