dataset,method,fee,fee_bps,n,seed_scope,APV_mean,APV_std,GARR_mean,GARR_std,ARR_mean,ARR_std,AVol_mean,AVol_std,ASR_mean,ASR_std,MDD_mean,MDD_std,Calmar_mean,Calmar_std,Turnover_mean,Turnover_std
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Reliability-policy,0.0005,5,10,001-010,2.020614239776145,0.30860374397275653,0.42699877472102193,0.1089486591917818,0.432373354588141,0.09069117888133352,0.39505371690709057,0.08571701967237345,1.1137100242407734,0.22136622212658189,0.3600169260496756,0.07552017800361532,1.2289818038250646,0.38231197984950893,38.73117704430181,10.907188779135682
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Reliability-policy,0.001,10,10,001-010,1.9824437673621809,0.3072800913561247,0.4131036538866337,0.10950605705938718,0.4224264158153182,0.0919358029659902,0.3949752572251878,0.08567139291737007,1.087390186745749,0.2210834133574744,0.3618611195823118,0.07505540322557988,1.180934322320517,0.37141342346034883,38.73117704430181,10.907188779135682
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Reliability-policy,0.002,20,10,001-010,1.9083781207818677,0.30541604472452005,0.38573581620572917,0.11090731390777793,0.4025325382696717,0.09462595024288892,0.39482401940638173,0.08557927631710611,1.0347053784355484,0.22160203863341163,0.36553410335268793,0.07413647868812936,1.087986542002862,0.3526310922133657,38.73117704430181,10.907188779135682
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Reliability-policy,0.005,50,10,001-010,1.703286581801321,0.30437378453878006,0.30690793909577907,0.11688301260972166,0.3428509056327336,0.10410525411128095,0.39441582477095866,0.08529603685008957,0.8763221109211126,0.23163146719149816,0.3764308007445446,0.07146484913630186,0.8323246466586672,0.3177278267580248,38.73117704430181,10.907188779135682
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,Buy-and-Hold Equal Weight,0.0005,5,1,deterministic,1.8957249157291927,0.0,0.3990461542138466,0.0,0.3549173786445264,0.0,0.1895551144193645,0.0,1.872370364322224,0.0,0.18009087409925684,0.0,2.2158044165742283,0.0,1.0000000000000115,0.0
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,Buy-and-Hold Equal Weight,0.001,10,1,deterministic,1.8947765791030131,0.0,0.3986786772164226,0.0,0.35465639705925467,0.0,0.1895739928062047,0.0,1.8708072336789798,0.0,0.18009087409925695,0.0,2.2137639078629334,0.0,1.0000000000000115,0.0
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,Buy-and-Hold Equal Weight,0.002,20,1,deterministic,1.892879905850656,0.0,0.397943461036413,0.0,0.35413443388871135,0.0,0.18961379658728766,0.0,1.8676617433040403,0.0,0.18009087409925706,0.0,2.209681434591108,0.0,1.0000000000000115,0.0
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,Buy-and-Hold Equal Weight,0.005,50,1,deterministic,1.8871898860935912,0.0,0.39573571035792265,0.0,0.35256854437708146,0.0,0.18974956786883482,0.0,1.8580729765919464,0.0,0.18009087409925684,0.0,2.1974223421216417,0.0,1.0000000000000115,0.0
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,FinGAT,0.0005,5,10,001-010,3.151270863827927,0.7435779919255754,0.8140320646599495,0.2389477858677691,0.6490078022896733,0.15308672929220662,0.3448695080637382,0.02807330239066403,1.859833567832845,0.340760791729692,0.24148723770224417,0.05482974446692535,3.57656594591663,1.1876070454608225,101.79232971653677,9.846924438667134
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,FinGAT,0.001,10,10,001-010,2.996901092213146,0.7169059710586015,0.7665191874719205,0.23553894318521273,0.6219378756402817,0.1546539532888463,0.34471924345836824,0.027992735180712255,1.781293229034522,0.352313543344549,0.24862318615386575,0.05438912809373362,3.269804054608091,1.1264409511059805,101.79232971653677,9.846924438667134
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,FinGAT,0.002,20,10,001-010,2.710418528851018,0.6668306593174064,0.6751435889096398,0.22895689753251558,0.5677980223414992,0.15786799766521448,0.3444384094210119,0.027833581375439117,1.62392676798468,0.37569581259914736,0.2674979699981764,0.05389401967467298,2.6774369913740097,1.0145703806487907,101.79232971653677,9.846924438667134
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,FinGAT,0.005,50,10,001-010,2.004730690315579,0.5386794035618403,0.42806619031030146,0.21076243505468847,0.4053784624451513,0.16809099016783666,0.34375395873864156,0.027373147529964444,1.1498594289054667,0.4474325853805282,0.34337437095528445,0.05211481359057641,1.3342277098713284,0.7530141273822116,101.79232971653677,9.846924438667134
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,Proposed Feedback + Reliability-policy,0.0005,5,10,001-010,2.5774977735466655,0.3471015082273755,0.6404720955218679,0.11776788997006235,0.5379466043617119,0.07776542355502114,0.2936661359558771,0.03404046651861757,1.8407397025515508,0.24828061668656845,0.2567457968060288,0.03960540987355761,2.5689086737333797,0.7026301125547147,53.831909391178236,16.464955386160128
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,Proposed Feedback + Reliability-policy,0.001,10,10,001-010,2.509384922917504,0.34011301099052604,0.6175130735055523,0.11705291236774068,0.5236461186767929,0.07852786707302081,0.2935361410155338,0.03403721375065371,1.7917749618864907,0.24785609777408973,0.26091291902305414,0.04168574500754279,2.44417815833731,0.6992299108459592,53.831909391178236,16.464955386160128
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,Proposed Feedback + Reliability-policy,0.002,20,10,001-010,2.3788808058056072,0.33026084535369543,0.5726095344810286,0.11681931997487374,0.49504514730695465,0.08074671938872782,0.2932867715778621,0.034028898476100834,1.6936318482004293,0.25095281023529,0.2695780119211026,0.04654278406048664,2.209984279032899,0.6994743814291815,53.831909391178236,16.464955386160128
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,Proposed Feedback + Reliability-policy,0.005,50,10,001-010,2.0292029101713998,0.3232760591986882,0.44564555983648335,0.12329122394758309,0.4092422331974401,0.0922001649973887,0.2926239535233982,0.03398933674850343,1.3976344136268843,0.2892816070531616,0.30002259571609197,0.06482032824175075,1.5926144959833717,0.6897960498721226,53.831909391178236,16.464955386160128
