dataset,method,seed,fee,fee_bps,protocol_id,accounting_protocol_id,APV,GARR,ARR,AVol,ASR,MDD,Calmar,Turnover
DJIA30_2026,FinGAT,5,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.8891109218320371,-0.05751641194197343,-0.04655545083300749,0.15853110174738339,-0.29366761676325703,0.21880319019004613,-0.2628682511073826,125.47983593920443
DJIA30_2026,FinGAT,5,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.6090873540025766,-0.22110572866507439,-0.23676579884965473,0.1573131021339232,-1.5050608985390943,0.41419230128997164,-0.5338238493966613,125.47983593920443
DJIA30_2026,FinGAT,6,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.4454359869747377,0.2040358745268076,0.20044416081297006,0.16942184308841277,1.1831069545641073,0.17154756280768235,1.1893836973687997,116.9010567907718
DJIA30_2026,FinGAT,6,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.3632919445748835,0.16904920192070416,0.1708557852006905,0.16937688207678184,1.0087314343361111,0.18036980483865672,0.9372367069528129,116.9010567907718
DJIA30_2026,FinGAT,6,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.2126019457389479,0.1020314874261723,0.11167903397613145,0.1693286809808938,0.6595399747354835,0.1977501718542073,0.515961561345169,116.9010567907718
DJIA30_2026,FinGAT,6,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.8525104834578615,-0.07727420185818057,-0.06585121969754651,0.16951796413637799,-0.38846160071016955,0.29771056718241673,-0.2595615015937013,116.9010567907718
DJIA30_2026,FinGAT,7,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.496527138539977,0.22530057364665756,0.21739485276839723,0.16715430570021508,1.300563882322521,0.1721829629784989,1.3084951597376777,135.9576705453457
DJIA30_2026,FinGAT,7,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.3980700234020667,0.1839860287348285,0.18295841006244892,0.16702160413356268,1.095417631818109,0.1869039797870935,0.9843879672568294,135.9576705453457
DJIA30_2026,FinGAT,7,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.2199772631546282,0.1054046198926859,0.11408552465055226,0.16679421150427948,0.6839897117630197,0.21624772000311654,0.4874253466865076,135.9576705453457
DJIA30_2026,FinGAT,7,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.8096381040090306,-0.10096078954649268,-0.09253313158513742,0.16641772695099596,-0.5560292961601686,0.3411796430535996,-0.2959168039537214,135.9576705453457
DJIA30_2026,FinGAT,8,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.2947044663108984,0.13902696528790104,0.14410076334305866,0.16472005010820914,0.874822240816433,0.16188057483711116,0.8588242624403448,144.182987594928
DJIA30_2026,FinGAT,8,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.204552780761535,0.09833853399700687,0.10763741073546017,0.16461538213199087,0.6538721311545176,0.17918750527247196,0.5488024058791019,144.182987594928
DJIA30_2026,FinGAT,8,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.0424717278334998,0.021184936597423043,0.03471070552026354,0.16443405369491446,0.2110919529154505,0.22943968710539198,0.09233335725258311,144.182987594928
DJIA30_2026,FinGAT,8,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.6748410057978768,-0.1798042060057672,-0.18406941012532463,0.16411509914222033,-1.1215872950593784,0.3983646081031458,-0.451355874363246,144.182987594928
DJIA30_2026,FinGAT,9,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.3098318084421574,0.1457150778211158,0.15088969576209982,0.1706517330850666,0.884196679601749,0.2071248608427122,0.7035132201332889,111.71924848242793
DJIA30_2026,FinGAT,9,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.238604239405947,0.1138789873525301,0.12262530194903405,0.17051720090478276,0.7191374318741506,0.21212204650005873,0.5368559715102437,111.71924848242793
DJIA30_2026,FinGAT,9,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.1074385319157798,0.05277870960974229,0.06609651432290298,0.1702910534809331,0.38813850153498275,0.22413582924677,0.23547645098559306,111.71924848242793
DJIA30_2026,FinGAT,9,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.7908667494545738,-0.11152733305520435,-0.10348984855549016,0.16995767740200926,-0.6089154084560742,0.31739371563829033,-0.35138481816162875,111.71924848242793
DJIA30_2026,FinGAT,10,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.3930715743363433,0.18185067882810158,0.1819022357852902,0.17035950457260238,1.0677551348933902,0.1570246245299518,1.1581029368639841,111.83636179655493
DJIA30_2026,FinGAT,10,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.3172426121809822,0.14897756531260553,0.15367178169968868,0.1706793268223667,0.9003538071111652,0.16674189662561412,0.8934621011724794,111.83636179655493
